layout,algorithm,evalFn,seed,point,WIN/LOSS,time
powerClassic.lay,ExpectimaxAgent,scoreEvaluationFunction,23520906,290.0,Loss,7.532346248626709
powerClassic.lay,ExpectimaxAgent,betterEvaluationFunction,23520902,1631.0,Win,21.54295516014099
powerClassic.lay,ExpectimaxAgent,betterEvaluationFunction,23520903,1656.0,Win,19.69202494621277
powerClassic.lay,ExpectimaxAgent,betterEvaluationFunction,23520904,-314.0,Loss,7.569034576416016
powerClassic.lay,ExpectimaxAgent,betterEvaluationFunction,23520905,-288.0,Loss,9.712265491485596
powerClassic.lay,ExpectimaxAgent,betterEvaluationFunction,23520906,956.0,Win,12.184346914291382
powerClassic.lay,ExpectimaxAgent,newBetterEvaluationFunction,23520902,1934.0,Win,15.620671033859253
powerClassic.lay,ExpectimaxAgent,newBetterEvaluationFunction,23520903,2518.0,Win,13.95336365699768
powerClassic.lay,ExpectimaxAgent,newBetterEvaluationFunction,23520904,2720.0,Win,14.954455375671387
powerClassic.lay,ExpectimaxAgent,newBetterEvaluationFunction,23520905,-288.0,Loss,9.612428903579712
powerClassic.lay,ExpectimaxAgent,newBetterEvaluationFunction,23520906,1158.0,Win,11.538625478744507
